model,target_col,n_experiments,anom_coeff,num_anomalies,in_a_row,interval_width,f1_score,precision,recall
fbprophet,"('AAQ-DME', 'auto_checkin')",100,0.833,1,False,0.975,0.0,0.0,0.0
fbprophet,"('DME-GDZ', 'auto_checkin')",100,0,3,True,0.975,0.0,0.0,0.0
fbprophet,total,100,0,1,False,0.975,0.3448275862068966,0.20833333333333334,1.0
fbprophet,total,100,0,3,True,0.975,0.759493670886076,0.6122448979591837,1.0
fbprophet,seat,100,0.833,1,False,0.975,0.054514480408858604,0.03285420944558522,0.16
fbprophet,"('AAQ-DME', 'auto_checkin')",100,0.66,1,False,0.975,0.0,0.0,0.0
fbprophetGamma,total,100,0,1,False,0.975,0.9690721649484536,1.0,0.94
fbprophetGamma,seat,100,0,3,True,0.975,0.9932885906040269,1.0,0.9866666666666667
fbprophetGamma,"('DME-GDZ', 'auto_checkin')",100,0.833,1,False,0.975,0.009307737056428156,0.004793289394847214,0.16
fbprophetGamma,"('DME-ORY', 'seat')",100,0.833,1,False,0.975,0.009815377424631924,0.005025125628140704,0.21
fbprophetGamma,gift_certificate,100,0,1,False,0.975,0.07493540051679587,0.04302670623145401,0.29
fbprophetGamma,"('AAQ-DME', 'auto_checkin')",100,0,3,True,0.975,0.11149455800371649,0.06057109893279492,0.7
fbprophetGamma,gift_certificate,100,0.833,1,False,0.975,0.008097165991902834,0.0046801872074883,0.03
fbprophetGamma,"('DME-GDZ', 'auto_checkin')",100,0,1,False,0.975,0.01773455377574371,0.009128386336866903,0.31
fbprophetGamma,"('AAQ-DME', 'auto_checkin')",100,0,1,False,0.975,0.013146613318090883,0.006766696087084437,0.23
fbprophetGamma,"('DME-GDZ', 'auto_checkin')",100,0,3,True,0.975,0.09969167523124356,0.05400890868596882,0.6466666666666666
fbprophetGamma,gift_certificate,100,0.66,1,False,0.975,0.01336898395721925,0.007716049382716049,0.05
fbprophetGamma,"('DME-GDZ', 'auto_checkin')",100,0.66,1,False,0.975,0.013917077413743114,0.007166318303971335,0.24
fbprophetGamma,"('DME-ORY', 'seat')",100,0,3,True,0.975,0.101957410195741,0.05449528627270637,0.79
fbprophetGamma,"('DME-ORY', 'seat')",100,0.66,1,False,0.975,0.008379888268156424,0.004289799809342231,0.18
fbprophetGamma,gift_certificate,100,0,3,True,0.975,0.4072164948453609,0.2743055555555556,0.79
fbprophetGamma,"('AAQ-DME', 'auto_checkin')",100,0.833,1,False,0.975,0.01086024578450986,0.005589879376287144,0.19
fbprophetGamma,"('AAQ-DME', 'auto_checkin')",100,0.66,1,False,0.975,0.010350776308223116,0.0053285968028419185,0.18
fbprophetGamma,"('DME-ORY', 'seat')",100,0,1,False,0.975,0.016286644951140062,0.008337303477846593,0.35
fbprophet,"('DME-ORY', 'seat')",100,0,1,False,0.87,0.038781163434903045,0.02681992337164751,0.07
fbprophet,"('DME-GDZ', 'auto_checkin')",100,0.66,1,False,0.87,0.0,0.0,0.0
fbprophet,seat,100,0.833,1,False,0.87,0.054401582591493566,0.02861602497398543,0.55
fbprophet,gift_certificate,100,0.66,1,False,0.87,0.005479452054794521,0.0037735849056603774,0.01
fbprophet,total,100,0,1,False,0.87,0.1596169193934557,0.08673026886383348,1.0
fbprophet,total,100,0.66,1,False,0.87,0.11005692599620492,0.0587440918298447,0.87
fbprophetGamma,seat,100,0.833,1,False,0.87,0.06837606837606838,0.05970149253731343,0.08
fbprophet,"('DME-ORY', 'seat')",100,0.66,1,False,0.87,0.011049723756906079,0.007633587786259542,0.02
fbprophet,gift_certificate,100,0,1,False,0.87,0.0962566844919786,0.06569343065693431,0.18
fbprophetGamma,total,100,0,1,False,0.87,0.8646288209606987,0.7674418604651163,0.99
fbprophetGamma,seat,100,0,3,True,0.87,0.671892497200448,0.5059021922428331,1.0
fbprophet,"('AAQ-DME', 'auto_checkin')",100,0.833,1,False,0.87,0.012345679012345678,0.0072992700729927005,0.04
fbprophet,"('DME-GDZ', 'auto_checkin')",100,0,3,True,0.87,0.06971677559912855,0.10062893081761007,0.05333333333333334
fbprophet,"('DME-ORY', 'seat')",100,0,3,True,0.87,0.08771929824561403,0.09259259259259259,0.08333333333333333
fbprophet,gift_certificate,100,0,3,True,0.87,0.4121212121212121,0.37777777777777777,0.4533333333333333
fbprophet,"('DME-GDZ', 'auto_checkin')",100,0.833,1,False,0.87,0.0,0.0,0.0
fbprophet,gift_certificate,100,0.833,1,False,0.87,0.0,0.0,0.0
fbprophetGamma,seat,100,0.66,1,False,0.87,0.26717557251908397,0.21604938271604937,0.35
fbprophetGamma,total,100,0.66,1,False,0.87,0.4378698224852071,0.5362318840579711,0.37
fbprophet,"('DME-ORY', 'seat')",100,0.833,1,False,0.87,0.005347593582887699,0.0036496350364963502,0.01
fbprophet,"('DME-GDZ', 'auto_checkin')",100,0,1,False,0.87,0.015151515151515152,0.012195121951219513,0.02
fbprophet,"('AAQ-DME', 'auto_checkin')",100,0.66,1,False,0.87,0.01519756838905775,0.008960573476702509,0.05
fbprophet,seat,100,0,3,True,0.87,0.5176876617773943,0.3492433061699651,1.0
fbprophetGamma,total,100,0.833,1,False,0.87,0.1751824817518248,0.32432432432432434,0.12
fbprophet,seat,100,0.66,1,False,0.87,0.08730556949322629,0.04595879556259905,0.87
fbprophet,"('AAQ-DME', 'auto_checkin')",100,0,1,False,0.87,0.019543973941368076,0.011673151750972763,0.06
fbprophet,total,100,0.833,1,False,0.87,0.07204968944099378,0.038410596026490065,0.58
fbprophet,total,100,0,3,True,0.87,0.5628517823639775,0.391644908616188,1.0
fbprophetGamma,seat,100,0,1,False,0.87,0.5921450151057401,0.42424242424242425,0.98
fbprophet,seat,100,0,1,False,0.87,0.12476606363069244,0.0665335994677312,1.0
fbprophet,"('AAQ-DME', 'auto_checkin')",100,0,3,True,0.87,0.07990012484394507,0.06387225548902195,0.10666666666666667
fbprophetGamma,total,100,0,3,True,0.87,0.8248275862068966,0.7035294117647058,0.9966666666666667
fbprophetNB,total,100,0,3,True,0.975,0.9864864864864865,1.0,0.9733333333333334
fbprophetNB,total,100,0.833,1,False,0.975,0.0,0.0,0.0
fbprophetNB,total,100,0.66,1,False,0.975,0.019801980198019802,1.0,0.01
fbprophetNB,gift_certificate,100,0.66,1,False,0.975,0.02590673575129534,0.017482517482517484,0.05
fbprophetNB,total,100,0,1,False,0.975,0.9361702127659575,1.0,0.88
fbprophetNB,gift_certificate,100,0.833,1,False,0.975,0.010416666666666666,0.007042253521126761,0.02
fbprophetNB,"('AAQ-DME', 'auto_checkin')",100,0.66,1,False,0.975,0.01684210526315789,0.009411764705882352,0.08
fbprophetNB,gift_certificate,100,0,1,False,0.975,0.1507537688442211,0.10067114093959731,0.3
fbprophetNB,seat,100,0,1,False,0.975,0.924731182795699,1.0,0.86
fbprophetNB,seat,100,0.66,1,False,0.975,0.0392156862745098,1.0,0.02
fbprophetNB,seat,100,0.833,1,False,0.975,0.0,0.0,0.0
fbprophetNB,seat,100,0,3,True,0.975,0.9795918367346939,1.0,0.96
fbprophetNB,"('AAQ-DME', 'auto_checkin')",100,0.833,1,False,0.975,0.008447729672650476,0.004722550177095631,0.04
fbprophetNB,"('AAQ-DME', 'auto_checkin')",100,0,1,False,0.975,0.028659160696008188,0.01596351197263398,0.14
fbprophetNB,"('AAQ-DME', 'auto_checkin')",100,0,3,True,0.975,0.10896898575020957,0.07278835386338185,0.21666666666666667
fbprophetNB,gift_certificate,100,0,3,True,0.975,0.4273743016759777,0.36778846153846156,0.51
fbprophetGamma,gift_certificate,100,0,3,True,0.87,0.24228028503562948,0.14127423822714683,0.85
fbprophetGamma,gift_certificate,100,0.66,1,False,0.87,0.024622271964185788,0.013040901007705987,0.22
fbprophetGamma,gift_certificate,100,0.833,1,False,0.87,0.012373453318335208,0.006555423122765197,0.11
fbprophetGamma,"('AAQ-DME', 'auto_checkin')",100,0,1,False,0.87,0.018289894833104708,0.009358914365933552,0.4
fbprophetGamma,"('AAQ-DME', 'auto_checkin')",100,0.833,1,False,0.87,0.011496895838123706,0.005883737349964698,0.25
fbprophetGamma,gift_certificate,100,0,1,False,0.87,0.05629139072847682,0.029789719626168224,0.51
fbprophetGamma,"('DME-GDZ', 'auto_checkin')",100,0.66,1,False,0.87,0.00790371834021915,0.004024144869215292,0.22
fbprophetGamma,"('DME-GDZ', 'auto_checkin')",100,0,1,False,0.87,0.01703637976929902,0.008672086720867209,0.48
fbprophetGamma,"('AAQ-DME', 'auto_checkin')",100,0.66,1,False,0.87,0.012799999999999999,0.006549707602339181,0.28
fbprophetGamma,"('DME-ORY', 'seat')",100,0,1,False,0.87,0.02177858439201452,0.011142061281337047,0.48
fbprophetGamma,"('DME-GDZ', 'auto_checkin')",100,0,3,True,0.87,0.07694859038142621,0.04048865619546248,0.7733333333333333
fbprophetGamma,"('AAQ-DME', 'auto_checkin')",100,0,3,True,0.87,0.10183212611844909,0.05439235320892126,0.7966666666666666
fbprophetGamma,"('DME-ORY', 'seat')",100,0,3,True,0.87,0.10186543701530076,0.05435025721315142,0.81
fbprophetGamma,"('DME-ORY', 'seat')",100,0.66,1,False,0.87,0.010454545454545454,0.005348837209302326,0.23
fbprophetGamma,"('DME-ORY', 'seat')",100,0.833,1,False,0.87,0.007272727272727274,0.0037209302325581397,0.16
fbprophetGamma,"('DME-GDZ', 'auto_checkin')",100,0.833,1,False,0.87,0.007912245998921057,0.004028566196667277,0.22
fbprophetNB,"('DME-ORY', 'seat')",100,0.833,1,False,0.975,0.021108179419525065,0.014336917562724014,0.04
fbprophetNB,"('DME-ORY', 'seat')",100,0,1,False,0.975,0.026737967914438505,0.01824817518248175,0.05
fbprophetNB,"('DME-GDZ', 'auto_checkin')",100,0,3,True,0.975,0.03991130820399113,0.059602649006622516,0.03
fbprophetNB,"('DME-GDZ', 'auto_checkin')",100,0.66,1,False,0.975,0.0,0.0,0.0
fbprophetNB,"('DME-GDZ', 'auto_checkin')",100,0.833,1,False,0.975,0.0078125,0.00641025641025641,0.01
fbprophetNB,"('DME-ORY', 'seat')",100,0.66,1,False,0.975,0.005347593582887699,0.0036496350364963502,0.01
fbprophetNB,"('DME-ORY', 'seat')",100,0,3,True,0.975,0.05574912891986063,0.058394160583941604,0.05333333333333334
fbprophetNB,"('DME-GDZ', 'auto_checkin')",100,0,1,False,0.975,0.022556390977443604,0.018072289156626505,0.03
fbprophetNB,seat,100,0,1,False,0.87,1.0,1.0,1.0
fbprophetNB,total,100,0,3,True,0.87,0.9983305509181971,1.0,0.9966666666666667
fbprophetNB,total,100,0.66,1,False,0.87,0.3870967741935484,1.0,0.24
fbprophetNB,total,100,0.833,1,False,0.87,0.0,0.0,0.0
fbprophetNB,seat,100,0,3,True,0.87,0.9983305509181971,1.0,0.9966666666666667
fbprophetNB,"('AAQ-DME', 'auto_checkin')",100,0.66,1,False,0.87,0.014885699096225414,0.007646095030038231,0.28
fbprophetNB,"('AAQ-DME', 'auto_checkin')",100,0,1,False,0.87,0.03516137496720021,0.018054432767448128,0.67
fbprophetNB,seat,100,0.833,1,False,0.87,0.0,0.0,0.0
fbprophetNB,seat,100,0.66,1,False,0.87,0.3739837398373984,1.0,0.23
fbprophetNB,total,100,0,1,False,0.87,1.0,1.0,1.0
fbprophetNB,gift_certificate,100,0,3,True,0.87,0.25507246376811593,0.14915254237288136,0.88
fbprophet,"('DME-GDZ', 'auto_checkin')",80,0,3,True,0.98,0.0,0.0,0.0
fbprophet,"('DME-GDZ', 'auto_checkin')",80,0,1,False,0.98,0.0,0.0,0.0
fbprophetNB,gift_certificate,100,0.833,1,False,0.87,0.02210587550901687,0.01173563928350834,0.19
fbprophet,"('DME-ORY', 'seat')",80,0.833,1,False,0.98,0.0,0.0,0.0
fbprophet,gift_certificate,80,0,1,False,0.98,0.0,0.0,0.0
fbprophet,seat,80,0,1,False,0.98,0.4324324324324324,0.27586206896551724,1.0
fbprophetGamma,seat,80,0,1,False,0.98,0.9261744966442953,1.0,0.8625
fbprophet,"('DME-GDZ', 'auto_checkin')",80,0.833,1,False,0.98,0.0,0.0,0.0
fbprophet,"('AAQ-DME', 'auto_checkin')",80,0,3,True,0.98,0.0,0.0,0.0
fbprophetNB,gift_certificate,100,0,1,False,0.87,0.08208092485549133,0.043558282208588955,0.71
fbprophetNB,"('AAQ-DME', 'auto_checkin')",100,0.833,1,False,0.87,0.012661566868900026,0.006502302898943376,0.24
fbprophet,total,80,0.833,1,False,0.98,0.06280193236714976,0.038922155688622756,0.1625
fbprophetNB,gift_certificate,100,0.66,1,False,0.87,0.016607354685646503,0.008827238335435058,0.14
fbprophet,seat,80,0,3,True,0.98,0.8786764705882354,0.7861842105263158,0.9958333333333333
fbprophet,gift_certificate,80,0.66,1,False,0.98,0.0,0.0,0.0
fbprophetNB,"('AAQ-DME', 'auto_checkin')",100,0,3,True,0.87,0.11427145708582832,0.06175836030204962,0.7633333333333333
fbprophet,total,80,0.66,1,False,0.98,0.27645788336933047,0.1671018276762402,0.8
