model,target_col,n_experiments,anom_coeff,num_anomalies,in_a_row,interval_width,f1_score,precision,recall
fbprophet,total,50,0.833,1,False,0.9,0.06835066864784548,0.03691813804173355,0.46
fbprophetGamma,total,50,0.833,1,False,0.9,0.07692307692307693,1.0,0.04
fbprophetNB,total,50,0.833,1,False,0.9,0.05555555555555555,0.09090909090909091,0.04
fbprophet,total,50,0.66,1,False,0.9,0.13023255813953488,0.07058823529411765,0.84
fbprophetGamma,total,50,0.66,1,False,0.9,0.4615384615384615,1.0,0.3
fbprophetNB,total,50,0.66,1,False,0.9,0.5333333333333332,0.6,0.48
fbprophet,total,50,0,1,False,0.9,0.20040080160320642,0.111358574610245,1.0
fbprophetGamma,total,50,0,1,False,0.9,1.0,1.0,1.0
fbprophetNB,total,50,0,1,False,0.9,0.9803921568627451,0.9615384615384616,1.0
fbprophet,total,50,0,3,True,0.9,0.591715976331361,0.42016806722689076,1.0
fbprophetGamma,total,50,0,3,True,0.9,0.9671052631578947,0.9545454545454546,0.98
fbprophetNB,total,50,0,3,True,0.9,1.0,1.0,1.0
fbprophet,seat,50,0.833,1,False,0.9,0.04581901489117984,0.024301336573511544,0.4
fbprophetGamma,seat,50,0.833,1,False,0.9,0.1111111111111111,0.75,0.06
fbprophetNB,seat,50,0.833,1,False,0.9,0.058823529411764705,0.1111111111111111,0.04
fbprophet,seat,50,0.66,1,False,0.9,0.10550996483001172,0.05603985056039851,0.9
fbprophetGamma,seat,50,0.66,1,False,0.9,0.43750000000000006,1.0,0.28
fbprophetNB,seat,50,0.66,1,False,0.9,0.5348837209302325,0.6388888888888888,0.46
fbprophet,seat,50,0,1,False,0.9,0.16129032258064516,0.08771929824561403,1.0
fbprophetGamma,seat,50,0,1,False,0.9,0.98989898989899,1.0,0.98
fbprophetNB,seat,50,0,1,False,0.9,0.9803921568627451,0.9615384615384616,1.0
fbprophet,seat,50,0,3,True,0.9,0.6147540983606558,0.4437869822485207,1.0
fbprophetGamma,seat,50,0,3,True,0.9,0.9490445859872612,0.9085365853658537,0.9933333333333333
fbprophetNB,seat,50,0,3,True,0.9,1.0,1.0,1.0
fbprophet,gift_certificate,50,0.833,1,False,0.9,0.0,0.0,0.0
