model,target_col,n_experiments,anom_coeff,num_anomalies,in_a_row,interval_width,f1_score,precision,recall
fbprophet,"('DME-ORY', 'seat')",70,0,5,True,0.6,0.03763440860215054,0.019178082191780823,1.0
fbprophet,"('DME-ORY', 'seat')",70,0,4,True,0.6,0.03655352480417755,0.018617021276595744,1.0
fbprophet,total,70,0,5,True,0.6,0.10878010878010878,0.05751848808545604,1.0
fbprophet,gift_certificate,70,0,5,True,0.6,0.06401463191586648,0.03306565895134624,1.0
fbprophetGamma,"('DME-GDZ', 'auto_checkin')",70,0,5,True,0.6,0.04488618146841937,0.022958346999016072,1.0
fbprophetGamma,"('AAQ-DME', 'auto_checkin')",70,0,4,True,0.6,0.0513950073421439,0.02637528259231349,1.0
fbprophet,seat,70,0,4,True,0.6,0.08101851851851852,0.04221954161640531,1.0
fbprophet,gift_certificate,70,0,4,True,0.6,0.06060606060606061,0.03125,1.0
fbprophetGamma,seat,70,0,4,True,0.6,0.10878010878010878,0.05751848808545604,1.0
fbprophet,"('DME-GDZ', 'auto_checkin')",70,0,4,True,0.6,0.04091603053435114,0.020904836193447737,0.9571428571428572
fbprophetGamma,total,70,0,4,True,0.6,0.17521902377972465,0.09602194787379972,1.0
fbprophetGamma,seat,70,0,5,True,0.6,0.12455516014234874,0.06641366223908918,1.0
fbprophet,"('AAQ-DME', 'auto_checkin')",70,0,4,True,0.6,0.03728070175438597,0.019005030743432086,0.9714285714285714
fbprophetGamma,"('DME-ORY', 'seat')",70,0,5,True,0.6,0.032139577594123045,0.016332244517032198,1.0
fbprophet,"('AAQ-DME', 'auto_checkin')",70,0,5,True,0.6,0.04085365853658537,0.020872274143302182,0.9571428571428572
fbprophet,"('DME-GDZ', 'auto_checkin')",70,0,5,True,0.6,0.04133451431945675,0.021103406692794695,1.0
fbprophetGamma,"('AAQ-DME', 'auto_checkin')",70,0,5,True,0.6,0.049522461973823845,0.025389916575988394,1.0
fbprophet,total,70,0,4,True,0.6,0.09222661396574441,0.04834254143646409,1.0
