model,target_col,n_experiments,anom_coeff,num_anomalies,in_a_row,interval_width,f1_score,precision,recall
fbprophet,"('DME-GDZ', 'auto_checkin')",70,0,4,True,0.6,0.03679999999999999,0.01875,0.9857142857142858
fbprophet,"('DME-ORY', 'seat')",70,0,4,True,0.6,0.035398230088495575,0.018018018018018018,1.0
fbprophet,seat,70,0,4,True,0.6,0.08348240906380441,0.043559427504667084,1.0
fbprophet,seat,70,0,5,True,0.6,0.09722222222222222,0.051094890510948905,1.0
fbprophet,"('DME-ORY', 'seat')",70,0,5,True,0.6,0.03755364806866952,0.01913613996719519,1.0
fbprophet,gift_certificate,70,0,4,True,0.6,0.05347593582887701,0.027472527472527472,1.0
fbprophet,total,70,0,5,True,0.6,0.11666666666666665,0.061946902654867256,1.0
fbprophet,gift_certificate,70,0,5,True,0.6,0.06331976481230213,0.03269500233535731,1.0
fbprophetGamma,total,70,0,4,True,0.6,0.13084112149532712,0.07,1.0
fbprophet,"('DME-GDZ', 'auto_checkin')",70,0,5,True,0.6,0.04327375352775164,0.0221224751522924,0.9857142857142858
fbprophetGamma,"('AAQ-DME', 'auto_checkin')",70,0,5,True,0.6,0.05291005291005291,0.02717391304347826,1.0
fbprophet,"('AAQ-DME', 'auto_checkin')",70,0,5,True,0.6,0.03959276018099548,0.020196191575302943,1.0
fbprophetGamma,gift_certificate,70,0,5,True,0.6,0.06575857209957728,0.033997085964060224,1.0
fbprophetGamma,seat,70,0,4,True,0.6,0.10079193664506839,0.05307050796057619,1.0
fbprophetGamma,"('DME-GDZ', 'auto_checkin')",70,0,4,True,0.6,0.04150607767565965,0.02119285498032092,1.0
fbprophetGamma,"('DME-ORY', 'seat')",70,0,4,True,0.6,0.03165988240615106,0.01608455882352941,1.0
fbprophet,"('AAQ-DME', 'auto_checkin')",70,0,4,True,0.6,0.045081967213114756,0.02309307207837649,0.9428571428571428
fbprophetGamma,seat,70,0,5,True,0.6,0.1342281879194631,0.07194244604316546,1.0
fbprophetGamma,total,70,0,5,True,0.6,0.20260492040520983,0.11272141706924316,1.0
fbprophet,total,70,0,4,True,0.6,0.09504412763068568,0.04989308624376337,1.0
