model,target_col,n_experiments,anom_coeff,num_anomalies,in_a_row,interval_width,f1_score,precision,recall
fbprophet,"('DME-ORY', 'seat')",80,0,3,True,0.6,0.034534858622922514,0.01757083241818581,1.0
fbprophet,seat,80,0,3,True,0.6,0.06840530141085935,0.035413899955732624,1.0
fbprophet,total,80,0,3,True,0.6,0.07272727272727272,0.03773584905660377,1.0
fbprophet,"('AAQ-DME', 'auto_checkin')",80,0,3,True,0.6,0.041691133294186736,0.021346963319302466,0.8875
fbprophet,"('DME-GDZ', 'auto_checkin')",80,0,3,True,0.6,0.034180138568129334,0.017411764705882352,0.925
fbprophet,gift_certificate,80,0,3,True,0.6,0.051364365971107544,0.026359143327841845,1.0
fbprophetGamma,gift_certificate,80,0,3,True,0.6,0.05972377752892871,0.030781069642170065,1.0
fbprophetGamma,"('DME-GDZ', 'auto_checkin')",80,0,3,True,0.6,0.040533606977937404,0.02069146149816658,0.9875
fbprophetGamma,"('AAQ-DME', 'auto_checkin')",80,0,3,True,0.6,0.04784978800726832,0.02451893234016139,0.9875
fbprophetGamma,total,80,0,3,True,0.6,0.12519561815336464,0.0667779632721202,1.0
fbprophetGamma,seat,80,0,3,True,0.6,0.08781558726673985,0.045924225028702644,1.0
fbprophetGamma,"('DME-ORY', 'seat')",80,0,3,True,0.6,0.030692499520429694,0.015585427625170466,1.0
fbprophetNB,"('DME-ORY', 'seat')",80,0,3,True,0.6,0.04251794588625069,0.021739130434782608,0.9625
fbprophetNB,seat,80,0,3,True,0.6,0.35874439461883406,0.2185792349726776,1.0
fbprophetNB,"('AAQ-DME', 'auto_checkin')",80,0,3,True,0.6,0.04312227074235808,0.022042410714285716,0.9875
fbprophetNB,"('DME-GDZ', 'auto_checkin')",80,0,3,True,0.6,0.04214963119072709,0.021528525296017224,1.0
fbprophetNB,total,80,0,3,True,0.6,0.5614035087719299,0.3902439024390244,1.0
fbprophetNB,gift_certificate,80,0,3,True,0.6,0.08012018027040561,0.041731872717788214,1.0
fbprophet,gift_certificate,80,0,3,True,0.605,0.052304674730304014,0.02685464921114468,1.0
fbprophet,"('DME-ORY', 'seat')",80,0,3,True,0.605,0.03553186764379303,0.018087271082975358,1.0
fbprophet,seat,80,0,3,True,0.605,0.07230004518752825,0.03750586029067042,1.0
fbprophet,"('AAQ-DME', 'auto_checkin')",80,0,3,True,0.605,0.045201056648077484,0.023143973549744516,0.9625
fbprophetGamma,"('DME-GDZ', 'auto_checkin')",80,0,3,True,0.605,0.040477426050856254,0.02066772655007949,0.975
fbprophet,total,80,0,3,True,0.605,0.07684918347742556,0.03996003996003996,1.0
fbprophetGamma,"('DME-ORY', 'seat')",80,0,3,True,0.605,0.03134796238244514,0.01592356687898089,1.0
fbprophet,"('DME-GDZ', 'auto_checkin')",80,0,3,True,0.605,0.035398230088495575,0.018035121025154248,0.95
fbprophetGamma,"('AAQ-DME', 'auto_checkin')",80,0,3,True,0.605,0.048367593712212824,0.024783147459727387,1.0
fbprophetGamma,gift_certificate,80,0,3,True,0.605,0.06113870844478411,0.031533307055577456,1.0
fbprophetGamma,total,80,0,3,True,0.605,0.1306122448979592,0.06986899563318777,1.0
fbprophetGamma,seat,80,0,3,True,0.605,0.091324200913242,0.04784688995215311,1.0
fbprophetNB,total,80,0,3,True,0.605,0.6083650190114068,0.4371584699453552,1.0
fbprophetNB,"('AAQ-DME', 'auto_checkin')",80,0,3,True,0.605,0.044918585064570464,0.022975301550832855,1.0
fbprophetNB,"('DME-GDZ', 'auto_checkin')",80,0,3,True,0.605,0.04232520760782213,0.021626060771968245,0.9875
fbprophetNB,gift_certificate,80,0,3,True,0.605,0.08171603677221655,0.042598509052183174,1.0
fbprophetNB,"('DME-ORY', 'seat')",80,0,3,True,0.605,0.04357541899441342,0.022285714285714287,0.975
