model,target_col,n_experiments,anom_coeff,num_anomalies,in_a_row,interval_width,f1_score,precision,recall
fbprophet,gift_certificate,80,0,3,True,0.6,0.024698981167026863,0.012503907471084715,1.0
fbprophet,"('DME-ORY', 'seat')",80,0,3,True,0.6,0.020444671607462304,0.010327911179963851,1.0
fbprophet,seat,80,0,3,True,0.6,0.023774145616641904,0.012030075187969926,1.0
fbprophet,total,80,0,1,False,0.6,0.020714655618850338,0.010465724751439037,1.0
fbprophetGamma,gift_certificate,80,0,1,False,0.6,0.023922458238812123,0.012161878800587125,0.725
fbprophet,"('DME-GDZ', 'auto_checkin')",80,0,1,False,0.6,0.016342296835537066,0.00826943316794467,0.6875
fbprophet,gift_certificate,80,0,1,False,0.6,0.020086943486733625,0.010165377029282354,0.8375
fbprophet,seat,80,0,1,False,0.6,0.020296841304072052,0.010252466999871843,1.0
fbprophetGamma,seat,80,0,1,False,0.6,0.02544031311154599,0.012888301387970919,0.975
fbprophet,"('DME-GDZ', 'auto_checkin')",80,0,3,True,0.6,0.023966446974236073,0.01212856276531231,1.0
fbprophetGamma,"('DME-GDZ', 'auto_checkin')",80,0,1,False,0.6,0.02133217239878102,0.010855117412494461,0.6125
fbprophetGamma,"('AAQ-DME', 'auto_checkin')",80,0,1,False,0.6,0.020586260908480643,0.010480747322852585,0.575
fbprophetGamma,"('DME-GDZ', 'auto_checkin')",80,0,3,True,0.6,0.03518029903254177,0.017905102954341987,1.0
fbprophet,"('DME-ORY', 'seat')",80,0,1,False,0.6,0.013796563401479998,0.006968199670594198,0.6875
fbprophet,"('AAQ-DME', 'auto_checkin')",80,0,3,True,0.6,0.023068750948550616,0.011676140728222461,0.95
fbprophetGamma,total,80,0,1,False,0.6,0.02469135802469136,0.0125,1.0
fbprophetGamma,"('AAQ-DME', 'auto_checkin')",80,0,3,True,0.6,0.03710575139146568,0.01890359168241966,1.0
fbprophetGamma,seat,80,0,3,True,0.6,0.024390243902439022,0.012345679012345678,1.0
fbprophet,"('AAQ-DME', 'auto_checkin')",80,0,1,False,0.6,0.015729336696839295,0.007959153025979876,0.6625
fbprophetGamma,"('DME-ORY', 'seat')",80,0,3,True,0.6,0.03700277520814061,0.01885014137606032,1.0
fbprophetGamma,gift_certificate,80,0,3,True,0.6,0.03615002259376412,0.01840773124712379,1.0
fbprophetGamma,total,80,0,3,True,0.6,0.023962857570765314,0.012126724268606942,1.0
fbprophetGamma,"('DME-ORY', 'seat')",80,0,1,False,0.6,0.021552672091488898,0.010969330646966645,0.6125
fbprophet,total,80,0,3,True,0.6,0.024107277384360408,0.01220070154033857,1.0
fbprophetNB,total,80,0,3,True,0.6,0.0682011935208866,0.0353045013239188,1.0
fbprophetNB,total,80,0,1,False,0.6,0.060952380952380945,0.03143418467583497,1.0
fbprophetNB,gift_certificate,80,0,3,True,0.6,0.032212603180994566,0.016369961121342338,1.0
fbprophetNB,"('AAQ-DME', 'auto_checkin')",80,0,3,True,0.6,0.02578981302385558,0.013063357282821686,1.0
fbprophetNB,"('AAQ-DME', 'auto_checkin')",80,0,1,False,0.6,0.02016065522129469,0.010208964747168607,0.8
fbprophetNB,"('DME-ORY', 'seat')",80,0,1,False,0.6,0.01865222623345367,0.009439707673568819,0.775
