model,target_col,n_experiments,anom_coeff,num_anomalies,in_a_row,interval_width,f1_score,precision,recall
fbprophet,"('AAQ-DME', 'auto_checkin')",50,0,3,True,0.6,0.0228542407313357,0.011574074074074073,0.9
fbprophet,total,50,0,3,True,0.6,0.027159152634437803,0.013766519823788546,1.0
fbprophet,gift_certificate,50,0,1,False,0.6,0.01999512314069739,0.010120957788200444,0.82
fbprophet,"('DME-ORY', 'seat')",50,0,3,True,0.6,0.0206782464846981,0.010447137484329294,1.0
fbprophet,seat,50,0,3,True,0.6,0.026497085320614736,0.01342642320085929,1.0
fbprophet,"('DME-ORY', 'seat')",50,0,1,False,0.6,0.0146609651802077,0.00740588356305287,0.72
fbprophetGamma,seat,50,0,3,True,0.6,0.025380710659898477,0.012853470437017995,1.0
fbprophet,gift_certificate,50,0,3,True,0.6,0.02478929102627665,0.012550200803212851,1.0
fbprophet,"('DME-GDZ', 'auto_checkin')",50,0,3,True,0.6,0.025227043390514632,0.012774655084312723,1.0
fbprophet,"('DME-GDZ', 'auto_checkin')",50,0,1,False,0.6,0.01834407535944472,0.00928714859437751,0.74
fbprophet,total,50,0,1,False,0.6,0.023696682464454978,0.011990407673860911,1.0
fbprophetGamma,"('AAQ-DME', 'auto_checkin')",50,0,1,False,0.6,0.021916092673763307,0.0111323155216285,0.7
fbprophetGamma,total,50,0,1,False,0.6,0.02531645569620253,0.012823868097356713,0.98
fbprophet,seat,50,0,1,False,0.6,0.023468669326449188,0.011873664212776063,1.0
fbprophetGamma,total,50,0,3,True,0.6,0.02391772303276728,0.012103606874848705,1.0
fbprophet,"('AAQ-DME', 'auto_checkin')",50,0,1,False,0.6,0.01944652206432311,0.009845998485231003,0.78
fbprophetGamma,"('DME-ORY', 'seat')",50,0,3,True,0.6,0.036297640653357534,0.018484288354898338,1.0
fbprophetGamma,"('DME-GDZ', 'auto_checkin')",50,0,1,False,0.6,0.019430485762144054,0.009880749574105622,0.58
fbprophetGamma,gift_certificate,50,0,1,False,0.6,0.02419928825622776,0.012318840579710146,0.68
fbprophetGamma,gift_certificate,50,0,3,True,0.6,0.037523452157598496,0.019120458891013385,1.0
fbprophetGamma,seat,50,0,1,False,0.6,0.025709694697375468,0.013029315960912053,0.96
fbprophetGamma,"('DME-ORY', 'seat')",50,0,1,False,0.6,0.022111269614835952,0.011256354393609296,0.62
fbprophetGamma,"('DME-GDZ', 'auto_checkin')",50,0,3,True,0.6,0.03381805884342239,0.01719986240110079,1.0
fbprophetGamma,"('AAQ-DME', 'auto_checkin')",50,0,3,True,0.6,0.03284072249589491,0.01669449081803005,1.0
fbprophetNB,"('DME-ORY', 'seat')",50,0,1,False,0.6,0.016090104585679808,0.008126777732629013,0.8
fbprophetNB,"('DME-ORY', 'seat')",50,0,3,True,0.6,0.020525451559934318,0.010369141435089175,1.0
fbprophetNB,total,50,0,3,True,0.6,0.0881057268722467,0.04608294930875576,1.0
fbprophetNB,seat,50,0,3,True,0.6,0.0645577792123951,0.0333555703802535,1.0
fbprophetNB,"('DME-GDZ', 'auto_checkin')",50,0,1,False,0.6,0.017253774263120056,0.00873150618481688,0.72
fbprophetNB,gift_certificate,50,0,1,False,0.6,0.022425494246090295,0.011380652890086853,0.76
fbprophetNB,"('AAQ-DME', 'auto_checkin')",50,0,1,False,0.6,0.016620498614958446,0.008399741546413956,0.78
fbprophetNB,"('AAQ-DME', 'auto_checkin')",50,0,3,True,0.6,0.021949078138718176,0.011096316023080338,1.0
fbprophetNB,"('DME-GDZ', 'auto_checkin')",50,0,3,True,0.6,0.02431315341599806,0.012306177701206006,1.0
fbprophetNB,seat,50,0,1,False,0.6,0.05414364640883978,0.02784090909090909,0.98
fbprophetNB,total,50,0,1,False,0.6,0.07716535433070867,0.04016393442622951,0.98
fbprophetNB,gift_certificate,50,0,3,True,0.6,0.030816640986132512,0.01564945226917058,1.0
fbprophet,gift_certificate,50,0,1,False,0.605,0.022671266633809757,0.011477045908183632,0.92
fbprophet,"('DME-GDZ', 'auto_checkin')",50,0,1,False,0.605,0.017055430147980936,0.008636017272034544,0.68
fbprophetGamma,seat,50,0,3,True,0.605,0.02471576866040534,0.012512512512512513,1.0
fbprophet,"('DME-ORY', 'seat')",50,0,1,False,0.605,0.014760147601476014,0.007456503728251864,0.72
fbprophet,total,50,0,3,True,0.605,0.02794857462269424,0.01417233560090703,1.0
fbprophet,"('DME-ORY', 'seat')",50,0,3,True,0.605,0.020868113522537566,0.010544074230282582,1.0
fbprophet,gift_certificate,50,0,3,True,0.605,0.025239777889954573,0.01278118609406953,1.0
fbprophet,"('DME-GDZ', 'auto_checkin')",50,0,3,True,0.605,0.0253613999492772,0.012843565373747753,1.0
fbprophet,"('AAQ-DME', 'auto_checkin')",50,0,3,True,0.605,0.024854171950291656,0.012586694066272797,0.98
fbprophet,total,50,0,1,False,0.605,0.023900573613766726,0.012094823415578132,1.0
fbprophetGamma,"('AAQ-DME', 'auto_checkin')",50,0,1,False,0.605,0.020056408649326233,0.010187838268067495,0.64
fbprophet,seat,50,0,1,False,0.605,0.02357934449422306,0.011930326890956812,1.0
fbprophetGamma,gift_certificate,50,0,1,False,0.605,0.027259684361549498,0.013878743608473338,0.76
fbprophetGamma,gift_certificate,50,0,3,True,0.605,0.03748125937031484,0.019098548510313215,1.0
fbprophet,"('AAQ-DME', 'auto_checkin')",50,0,1,False,0.605,0.01460221550855992,0.007394186639469658,0.58
fbprophetGamma,total,50,0,1,False,0.605,0.02451581269919098,0.012410027302060065,1.0
fbprophetGamma,"('DME-GDZ', 'auto_checkin')",50,0,1,False,0.605,0.017467248908296942,0.008882815169115136,0.52
fbprophetGamma,"('DME-ORY', 'seat')",50,0,3,True,0.605,0.036805299963194704,0.018747656542932135,1.0
fbprophetGamma,"('DME-ORY', 'seat')",50,0,1,False,0.605,0.022166607079013228,0.011285038223516564,0.62
fbprophetGamma,"('DME-GDZ', 'auto_checkin')",50,0,3,True,0.605,0.03418803418803419,0.017391304347826087,1.0
fbprophet,seat,50,0,3,True,0.605,0.027210884353741496,0.013793103448275862,1.0
fbprophetGamma,seat,50,0,1,False,0.605,0.026629680998613035,0.01350210970464135,0.96
fbprophetGamma,"('AAQ-DME', 'auto_checkin')",50,0,3,True,0.605,0.03303600925008259,0.016795431642593214,1.0
fbprophetGamma,total,50,0,3,True,0.605,0.025050100200400802,0.012683916793505834,1.0
fbprophetNB,"('DME-GDZ', 'auto_checkin')",50,0,3,True,0.605,0.02433682161109759,0.01231830500123183,1.0
fbprophetNB,total,50,0,3,True,0.605,0.08904719501335707,0.046598322460391424,1.0
fbprophetNB,total,50,0,1,False,0.605,0.07930214115781126,0.04128819157720892,1.0
