model,target_col,n_experiments,anom_coeff,num_anomalies,in_a_row,interval_width,f1_score,precision,recall
fbprophet,total,80,0,1,False,0.6,0.05080978088281995,0.02606712284131639,1.0
fbprophetGamma,"('DME-ORY', 'seat')",80,0,1,False,0.6,0.019784568036931193,0.010069366748713358,0.5625
fbprophet,"('AAQ-DME', 'auto_checkin')",80,0,1,False,0.6,0.027293404094010612,0.013928295073510446,0.675
fbprophetGamma,seat,80,0,1,False,0.6,0.07149404216315307,0.037107516650808754,0.975
fbprophet,"('DME-ORY', 'seat')",80,0,3,True,0.6,0.03726997437689261,0.018988844054118204,1.0
fbprophet,"('DME-GDZ', 'auto_checkin')",80,0,1,False,0.6,0.018285149493451943,0.009326947315351651,0.4625
fbprophetGamma,total,80,0,1,False,0.6,0.11094890510948904,0.05891472868217054,0.95
fbprophet,total,80,0,3,True,0.6,0.0823045267489712,0.04291845493562232,1.0
fbprophet,"('DME-GDZ', 'auto_checkin')",80,0,3,True,0.6,0.03841229193341869,0.0196078431372549,0.9375
fbprophet,seat,80,0,3,True,0.6,0.07233273056057868,0.0375234521575985,1.0
fbprophetGamma,"('AAQ-DME', 'auto_checkin')",80,0,3,True,0.6,0.04296455424274973,0.021953896816684963,1.0
fbprophetGamma,"('DME-ORY', 'seat')",80,0,3,True,0.6,0.03651300775901416,0.018596001859600187,1.0
fbprophetGamma,"('DME-GDZ', 'auto_checkin')",80,0,3,True,0.6,0.03483561942085782,0.017726567693330378,1.0
fbprophet,seat,80,0,1,False,0.6,0.048587913756453084,0.024898848428260192,1.0
fbprophet,"('DME-ORY', 'seat')",80,0,1,False,0.6,0.019443816414198508,0.009900990099009901,0.5375
fbprophetGamma,"('AAQ-DME', 'auto_checkin')",80,0,1,False,0.6,0.0231839258114374,0.011835875854813256,0.5625
fbprophetGamma,gift_certificate,80,0,1,False,0.6,0.03324396782841823,0.016986301369863014,0.775
fbprophet,gift_certificate,80,0,1,False,0.6,0.034905082669932634,0.017890772128060263,0.7125
fbprophet,gift_certificate,80,0,3,True,0.6,0.05064893953782843,0.025982461838259176,1.0
fbprophet,"('AAQ-DME', 'auto_checkin')",80,0,3,True,0.6,0.03488674824264514,0.01781441106088806,0.8375
fbprophetGamma,seat,80,0,3,True,0.6,0.09702850212249849,0.05098789037603569,1.0
fbprophetGamma,total,80,0,3,True,0.6,0.13389121338912133,0.07174887892376682,1.0
fbprophetGamma,"('DME-GDZ', 'auto_checkin')",80,0,1,False,0.6,0.016281062553556123,0.008282476024411508,0.475
fbprophetGamma,gift_certificate,80,0,3,True,0.6,0.046109510086455335,0.02359882005899705,1.0
fbprophetNB,"('AAQ-DME', 'auto_checkin')",80,0,3,True,0.6,0.03708854891052388,0.01889466225791214,1.0
fbprophetNB,total,80,0,1,False,0.6,0.3640552995391705,0.2231638418079096,0.9875
fbprophetNB,gift_certificate,80,0,1,False,0.6,0.040207972270363955,0.02067736185383244,0.725
