model,target_col,n_experiments,anom_coeff,num_anomalies,in_a_row,interval_width,f1_score,precision,recall
fbprophet,gift_certificate,70,0,3,True,0.6,0.15730337078651685,0.08536585365853659,1.0
fbprophet,"('AAQ-DME', 'auto_checkin')",70,0,3,True,0.6,0.07725947521865889,0.040706605222734255,0.7571428571428571
fbprophet,"('DME-GDZ', 'auto_checkin')",70,0,3,True,0.6,0.07199297629499561,0.03835360149672591,0.5857142857142857
fbprophet,total,70,0,3,True,0.6,0.09708737864077671,0.05102040816326531,1.0
fbprophet,seat,70,0,3,True,0.6,0.08348240906380441,0.043559427504667084,1.0
fbprophet,"('DME-ORY', 'seat')",70,0,3,True,0.6,0.1414141414141414,0.07865168539325842,0.7
fbprophetGamma,seat,70,0,3,True,0.6,0.08032128514056225,0.04184100418410042,1.0
fbprophetGamma,total,70,0,3,True,0.6,0.09096816114359975,0.047651463580667124,1.0
fbprophetGamma,"('AAQ-DME', 'auto_checkin')",70,0,3,True,0.6,0.08297213622291022,0.04336569579288026,0.9571428571428572
fbprophetGamma,"('DME-GDZ', 'auto_checkin')",70,0,3,True,0.6,0.0667648502700049,0.03457041179461108,0.9714285714285714
fbprophetGamma,gift_certificate,70,0,3,True,0.6,0.09200000000000001,0.04825174825174825,0.9857142857142858
fbprophetGamma,"('DME-ORY', 'seat')",70,0,3,True,0.6,0.09429978888106968,0.049592894152479645,0.9571428571428572
fbprophetNB,seat,70,0,3,True,0.6,0.4729729729729729,0.30973451327433627,1.0
fbprophetNB,total,70,0,3,True,0.6,0.7865168539325843,0.6481481481481481,1.0
fbprophetNB,"('DME-GDZ', 'auto_checkin')",70,0,3,True,0.6,0.04013761467889908,0.02047981275599766,1.0
fbprophetNB,"('DME-ORY', 'seat')",70,0,3,True,0.6,0.037870472008781554,0.019306099608282036,0.9857142857142858
fbprophetNB,"('AAQ-DME', 'auto_checkin')",70,0,3,True,0.6,0.037889039242219216,0.019310344827586208,1.0
fbprophetNB,gift_certificate,70,0,3,True,0.6,0.05792304509722797,0.02982530890498509,1.0
fbprophet,gift_certificate,70,0,3,True,0.605,0.16336056009334887,0.08894536213468869,1.0
fbprophet,"('DME-GDZ', 'auto_checkin')",70,0,3,True,0.605,0.06980802792321117,0.03717472118959108,0.5714285714285714
fbprophet,seat,70,0,3,True,0.605,0.087173100871731,0.045572916666666664,1.0
fbprophet,"('AAQ-DME', 'auto_checkin')",70,0,3,True,0.605,0.0789865871833085,0.041666666666666664,0.7571428571428571
fbprophet,total,70,0,3,True,0.605,0.1053423626787058,0.05559968228752978,1.0
fbprophetGamma,seat,70,0,3,True,0.605,0.08388256440982625,0.043777360850531584,1.0
fbprophetGamma,total,70,0,3,True,0.605,0.09655172413793105,0.050724637681159424,1.0
fbprophetGamma,"('AAQ-DME', 'auto_checkin')",70,0,3,True,0.605,0.08015028177833437,0.04191224623444663,0.9142857142857143
fbprophet,"('DME-ORY', 'seat')",70,0,3,True,0.605,0.1761194029850746,0.09833333333333333,0.8428571428571429
fbprophetGamma,"('DME-GDZ', 'auto_checkin')",70,0,3,True,0.605,0.06499261447562778,0.033656297807241206,0.9428571428571428
fbprophetGamma,"('DME-ORY', 'seat')",70,0,3,True,0.605,0.09241877256317688,0.048669201520912544,0.9142857142857143
fbprophetGamma,gift_certificate,70,0,3,True,0.605,0.0979706088173548,0.051508462104488596,1.0
fbprophetNB,"('DME-GDZ', 'auto_checkin')",70,0,3,True,0.605,0.038923869490555235,0.01985981308411215,0.9714285714285714
fbprophetNB,"('AAQ-DME', 'auto_checkin')",70,0,3,True,0.605,0.038314176245210725,0.01953125,1.0
fbprophetNB,total,70,0,3,True,0.605,0.7526881720430108,0.603448275862069,1.0
fbprophetNB,"('DME-ORY', 'seat')",70,0,3,True,0.605,0.03854748603351956,0.019658119658119658,0.9857142857142858
fbprophetNB,gift_certificate,70,0,3,True,0.605,0.05972696245733788,0.030782761653474055,1.0
fbprophetNB,seat,70,0,3,True,0.605,0.5283018867924528,0.358974358974359,1.0
fbprophet,"('DME-ORY', 'seat')",70,0,3,True,0.61,0.19395866454689983,0.10912343470483005,0.8714285714285714
fbprophet,"('AAQ-DME', 'auto_checkin')",70,0,3,True,0.61,0.08895949166004767,0.04709840201850295,0.8
fbprophet,"('DME-GDZ', 'auto_checkin')",70,0,3,True,0.61,0.078397212543554,0.041743970315398886,0.6428571428571429
fbprophet,gift_certificate,70,0,3,True,0.61,0.1652892561983471,0.09009009009009009,1.0
